term,week,day of week,class,time spent (min)
fa23,5,Monday,PHYS 214,0.0
fa23,5,Monday,MATH 241,60.0
fa23,5,Monday,LAS 101,0.0
fa23,5,Monday,STAT 107,0.0
fa23,5,Tuesday,LAS 101,0.0
fa23,5,Tuesday,PHYS 214,15.0
fa23,5,Tuesday,MATH 241,0.0
fa23,5,Tuesday,STAT 107,0.0
fa23,5,Wednesday,LAS 101,0.0
fa23,5,Wednesday,PHYS 214,0.0
fa23,5,Wednesday,MATH 241,90.0
fa23,5,Wednesday,STAT 107,60.0
fa23,5,Thursday,LAS 101,15.0
fa23,5,Thursday,STAT 107,0.0
fa23,5,Thursday,PHYS 214,30.0
fa23,5,Thursday,MATH 241,150.0
fa23,5,Friday,PHYS 214,60.0
fa23,5,Friday,MATH 241,0.0
fa23,5,Friday,LAS 101,0.0
fa23,5,Friday,STAT 107,0.0
fa23,5,Saturday,PHYS 214,150.0
fa23,5,Saturday,LAS 101,0.0
fa23,5,Saturday,MATH 241,0.0
fa23,5,Saturday,STAT 107,0.0
fa23,5,Sunday,STAT 107,0.0
fa23,5,Sunday,LAS 101,0.0
fa23,5,Sunday,MATH 241,90.0
fa23,5,Sunday,PHYS 214,15.0
fa23,6,Monday,LAS 101,0.0
fa23,6,Monday,STAT 107,30.0
fa23,6,Monday,MATH 241,0.0
fa23,6,Monday,PHYS 214,0.0
fa23,6,Tuesday,PHYS 214,45.0
fa23,6,Tuesday,STAT 107,0.0
fa23,6,Tuesday,LAS 101,0.0
fa23,6,Tuesday,MATH 241,30.0
fa23,6,Wednesday,MATH 241,90.0
fa23,6,Wednesday,LAS 101,0.0
fa23,6,Wednesday,STAT 107,0.0
fa23,6,Wednesday,PHYS 214,75.0
fa23,6,Thursday,LAS 101,0.0
fa23,6,Thursday,STAT 107,15.0
fa23,6,Thursday,MATH 241,70.0
fa23,6,Thursday,PHYS 214,30.0
fa23,6,Friday,PHYS 214,0.0
fa23,6,Friday,LAS 101,0.0
fa23,6,Friday,STAT 107,0.0
fa23,6,Friday,MATH 241,0.0
fa23,6,Saturday,PHYS 214,0.0
fa23,6,Saturday,STAT 107,0.0
fa23,6,Saturday,MATH 241,0.0
fa23,6,Saturday,LAS 101,0.0
fa23,6,Sunday,MATH 241,0.0
fa23,6,Sunday,PHYS 214,0.0
fa23,6,Sunday,LAS 101,0.0
fa23,6,Sunday,STAT 107,0.0
fa23,7,Monday,STAT 107,30.0
fa23,7,Monday,LAS 101,0.0
fa23,7,Monday,PHYS 214,30.0
fa23,7,Monday,MATH 241,30.0
fa23,7,Tuesday,STAT 107,0.0
fa23,7,Tuesday,LAS 101,0.0
fa23,7,Tuesday,MATH 241,0.0
fa23,7,Tuesday,PHYS 214,60.0
fa23,7,Wednesday,PHYS 214,30.0
fa23,7,Wednesday,MATH 241,135.0
fa23,7,Wednesday,STAT 107,15.0
fa23,7,Wednesday,LAS 101,0.0
fa23,7,Thursday,PHYS 214,0.0
fa23,7,Thursday,LAS 101,0.0
fa23,7,Thursday,STAT 107,0.0
fa23,7,Thursday,MATH 241,45.0
fa23,7,Friday,STAT 107,0.0
fa23,7,Friday,LAS 101,0.0
fa23,7,Friday,PHYS 214,0.0
fa23,7,Friday,MATH 241,0.0
fa23,7,Saturday,LAS 101,0.0
fa23,7,Saturday,PHYS 214,0.0
fa23,7,Saturday,STAT 107,0.0
fa23,7,Saturday,MATH 241,0.0
fa23,7,Sunday,MATH 241,0.0
fa23,7,Sunday,PHYS 213,15.0
fa23,7,Sunday,LAS 101,15.0
fa23,7,Sunday,STAT 107,15.0
fa23,8,Monday,PHYS 213,0.0
fa23,8,Monday,STAT 107,15.0
fa23,8,Monday,LAS 101,0.0
fa23,8,Monday,MATH 241,60.0
fa23,8,Tuesday,LAS 101,0.0
fa23,8,Tuesday,PHYS 213,15.0
fa23,8,Tuesday,STAT 107,0.0
fa23,8,Tuesday,MATH 241,30.0
fa23,8,Wednesday,MATH 241,60.0
fa23,8,Wednesday,PHYS 213,0.0
fa23,8,Wednesday,LAS 101,0.0
fa23,8,Wednesday,STAT 107,0.0
fa23,8,Thursday,STAT 107,0.0
fa23,8,Thursday,MATH 241,0.0
fa23,8,Thursday,PHYS 213,0.0
fa23,8,Thursday,LAS 101,0.0
fa23,8,Friday,PHYS 213,0.0
fa23,8,Friday,LAS 101,0.0
fa23,8,Friday,MATH 241,0.0
fa23,8,Friday,STAT 107,0.0
fa23,8,Saturday,MATH 241,0.0
fa23,8,Saturday,STAT 107,0.0
fa23,8,Saturday,LAS 101,0.0
fa23,8,Saturday,PHYS 213,0.0
fa23,8,Sunday,STAT 107,0.0
fa23,8,Sunday,HIST 164,75.0
fa23,8,Sunday,PHYS 213,15.0
fa23,8,Sunday,MATH 241,0.0
fa23,9,Monday,PHYS 213,0.0
fa23,9,Monday,HIST 164,0.0
fa23,9,Monday,MATH 241,0.0
fa23,9,Monday,STAT 107,15.0
fa23,9,Tuesday,HIST 164,75.0
fa23,9,Tuesday,STAT 107,0.0
fa23,9,Tuesday,PHYS 213,15.0
fa23,9,Tuesday,MATH 241,0.0
fa23,9,Wednesday,HIST 164,0.0
fa23,9,Wednesday,STAT 107,15.0
fa23,9,Wednesday,PHYS 213,30.0
fa23,9,Wednesday,MATH 241,0.0
fa23,9,Thursday,PHYS 213,0.0
fa23,9,Thursday,MATH 241,105.0
fa23,9,Thursday,STAT 107,30.0
fa23,9,Thursday,HIST 164,30.0
fa23,9,Friday,PHYS 213,0.0
fa23,9,Friday,STAT 107,0.0
fa23,9,Friday,MATH 241,0.0
fa23,9,Friday,HIST 164,30.0
fa23,9,Saturday,STAT 107,0.0
fa23,9,Saturday,MATH 241,0.0
fa23,9,Saturday,HIST 164,0.0
fa23,9,Saturday,PHYS 213,0.0
fa23,9,Sunday,HIST 164,0.0
fa23,9,Sunday,PHYS 213,70.0
fa23,9,Sunday,STAT 107,0.0
fa23,9,Sunday,MATH 241,130.0
fa23,10,Monday,PHYS 213,0.0
fa23,10,Monday,MATH 241,0.0
fa23,10,Monday,STAT 107,0.0
fa23,10,Monday,HIST 164,165.0
fa23,10,Tuesday,MATH 241,0.0
fa23,10,Tuesday,HIST 164,120.0
fa23,10,Tuesday,STAT 107,0.0
fa23,10,Tuesday,PHYS 213,5.0
fa23,10,Wednesday,STAT 107,30.0
fa23,10,Wednesday,MATH 241,135.0
fa23,10,Wednesday,HIST 164,75.0
fa23,10,Wednesday,PHYS 213,0.0
fa23,10,Thursday,MATH 241,15.0
fa23,10,Thursday,PHYS 213,45.0
fa23,10,Thursday,STAT 107,0.0
fa23,10,Thursday,HIST 164,75.0
fa23,10,Friday,STAT 107,0.0
fa23,10,Friday,HIST 164,75.0
fa23,10,Friday,PHYS 213,0.0
fa23,10,Friday,MATH 241,60.0
fa23,10,Saturday,HIST 164,0.0
fa23,10,Saturday,MATH 241,0.0
fa23,10,Saturday,STAT 107,0.0
fa23,10,Saturday,PHYS 213,50.0
fa23,10,Sunday,MATH 241,75.0
fa23,10,Sunday,STAT 107,0.0
fa23,10,Sunday,HIST 164,90.0
fa23,10,Sunday,PHYS 213,125.0
fa23,11,Monday,HIST 164,80.0
fa23,11,Monday,MATH 241,15.0
fa23,11,Monday,STAT 107,0.0
fa23,11,Monday,PHYS 213,75.0
fa23,11,Tuesday,PHYS 213,15.0
fa23,11,Tuesday,MATH 241,0.0
fa23,11,Tuesday,STAT 107,0.0
fa23,11,Tuesday,HIST 164,125.0
fa23,11,Wednesday,MATH 241,150.0
fa23,11,Wednesday,STAT 107,15.0
fa23,11,Wednesday,PHYS 213,0.0
fa23,11,Wednesday,HIST 164,60.0
