Date,GEOL 208,CHEM 102,CHEM 103,ASTR 310,IS 477,ACES 179
8/26/24,0,0,0,0,0,0
8/27/24,0,0,0,0,0,90
8/28/24,0,0,0,15,90,55
8/29/24,0,0,0,0,0,0
8/30/24,0,30,0,0,0,0
8/31/24,0,0,0,0,0,0
9/1/24,0,0,0,15,0,60
9/2/24,0,0,0,0,0,0
9/3/24,0,0,0,30,0,0
9/4/24,15,0,0,15,0,90
9/5/24,0,0,0,0,0,0
9/6/24,0,0,0,0,0,0
9/7/24,0,30,90,0,0,0
9/8/24,0,0,30,0,105,0
9/9/24,0,30,0,0,0,60
9/10/24,60,15,0,0,0,0
9/11/24,15,0,0,0,0,0
9/12/24,0,105,0,0,75,0
9/13/24,0,0,0,0,0,0
9/14/24,0,45,0,75,0,0
9/15/24,0,45,0,0,0,135
9/16/24,0,0,0,0,0,75
9/17/24,0,0,60,0,120,0
9/18/24,0,30,0,10,45,90
9/19/24,15,0,0,0,0,60
9/20/24,0,0,0,0,0,0
9/21/24,0,0,0,0,0,0
9/22/24,30,15,30,120,0,0
9/23/24,60,50,0,0,0,0
9/24/24,0,0,15,0,0,105
9/25/24,0,90,0,0,90,0
9/26/24,15,0,0,0,0,0
9/27/24,0,0,0,0,0,0
9/28/24,60,0,15,30,0,0
9/29/24,15,160,0,0,0,0
9/30/24,0,15,0,15,0,75
10/1/24,0,0,45,0,0,0
10/2/24,0,45,0,5,45,0
10/3/24,0,90,0,0,0,0
10/4/24,0,0,0,0,0,0
10/5/24,0,0,0,0,0,0
10/6/24,0,0,45,150,60,0
10/7/24,0,45,0,10,0,75
10/8/24,45,135,75,0,0,0
10/9/24,60,75,0,15,15,0
10/10/24,15,15,0,75,45,30
10/11/24,0,0,30,30,0,60
10/12/24,0,180,0,0,0,60
10/13/24,90,0,0,0,75,60
10/14/24,90,15,0,5,90,0
10/15/24,30,0,45,0,75,165
10/16/24,45,15,15,5,0,105
10/17/24,0,0,0,0,30,30
10/18/24,0,30,0,90,0,0
10/19/24,0,0,0,0,0,0
10/20/24,0,0,0,0,0,0
10/21/24,0,75,,30,15,60
10/22/24,0,0,30,30,0,0
10/23/24,0,120,0,0,0,0
10/24/24,0,0,0,0,0,0
10/25/24,0,0,0,0,0,0
10/26/24,0,0,0,90,0,0
10/27/24,0,0,0,90,120,0
10/28/24,0,120,0,60,0,0
10/29/24,0,0,15,0,0,45
10/30/24,0,15,30,0,60,30
10/31/24,0,0,0,120,0,0
11/1/24,0,0,0,0,0,0
11/2/24,0,30,0,0,0,75
11/3/24,0,60,0,0,0,0
